url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user
cmcu.org,188872,188872,2.5,0.35,5.2
erogazo-jp.net,69865,69865,12,0.49,1.5
shnyagi.net,226580,226580,2.5,0.15,2.2
oddslot.com,67980,67980,12,0.54,1.6
fotohostingtv.ru,323861,323861,1.6,0.09,2
advantagehosted.com,167774,167774,3.8,0.21,2
cntorrentkitty.org,19766,19766,31,6.59,7.8
fceo.ir,216420,216420,2.5,0.18,2.6
inna1903gr.livejournal.com,340597,340597,1.4,0.1,2.5
erogazoufactory.com,56960,56960,15,0.7,1.8
tourmag.com,159244,159244,4.8,0.16,1.2
thebestsingapore.com,130331,130331,5.7,0.24,1.5
dpauls.com,214757,214757,2.4,0.2,3
ving.se,84862,84862,7.2,0.77,3.9
juvelirum.ru,312352,312352,1.9,0.08,1.5
mytedata.net,3873,3873,196,17.4,3.25
awebfont.ir,205224,205224,3.1,0.15,1.8
qcenglish.com,179435,179435,3,0.27,3
apartos.ru,270384,270384,2.1,0.11,2
cornercard.ch,197108,197108,2.9,0.19,2.4
rocketbeans.tv,53310,53310,15,0.77,1.8
kikiska.com,257135,257135,1.7,0.21,4.5
import-watch.com,203685,203685,2.3,0.29,5
soylunaok.blogspot.com,139262,139262,4.1,0.35,3.1
mein-deal.com,31364,31364,25,1.87,2.8
topgal.cz,284305,284305,1.3,0.28,7.5
moderntechgamer.com,218951,218951,2.6,0.15,2.1
inventory-planner.com,283365,283365,1.4,0.25,6.5
mamecn.com,86824,86824,6.5,0.91,5.2
nwpfs.org,320162,320162,1.1,0.3,10
iamnaughty.com,28702,28702,35,1.2,1.3
steelcn.cn,145343,145343,3,0.73,8.8
residenttools.com,182931,182931,2.7,0.32,4.3
makhsoom.com,121903,121903,4,0.75,6.9
learn.com,130062,130062,4,0.52,4.7
sadovod.net,355416,355416,1.2,0.13,4.2
tu-sofia.bg,327468,327468,1.4,0.12,3.2
bellflowerliving.com,346443,346443,1.6,0.07,1.7
cff.org.br,250061,250061,2.7,0.09,1.2
interdin.com.ec,149057,149057,3.8,0.33,3.1
trumptwitterarchive.com,134936,134936,6.2,0.18,1.1
completehomespa.com,305819,305819,2.1,0.07,1.2
entwickler.de,187275,187275,4,0.13,1.1
shidax.co.jp,189496,189496,2.9,0.22,3
unae.edu.ec,293873,293873,1.4,0.19,4.8
twfhcsec.com.tw,203008,203008,2.6,0.22,3.1
advance-rp.ru,16191,16191,32.9,14,15.6
compassmanager.com,211069,211069,2.3,0.25,4
onthebox.com,263483,263483,2.5,0.09,1.3
alindas.com,282004,282004,2,0.11,2
divisioneconsumer.it,172289,172289,3.2,0.27,3.1
swalif.net,87253,87253,9.7,0.37,1.4
indeed.com.my,66308,66308,11,0.69,2.3
notaterapia.com.br,212731,212731,3.3,0.11,1.3
juniorpussy.com,350934,350934,1.9,0.05,1
freeenglishlessonplans.com,219723,219723,3.1,0.11,1.3
mixsoftflash.review,166357,166357,4.7,0.14,1.1
perfumeriasabina.com,305050,305050,1.5,0.15,3.8
danawa.com,1593,1593,363,65.4,6.61
bestille.no,287401,287401,1.9,0.11,2.1
internetbs.net,82964,82964,7.8,0.69,3.2
medizzy.com,236834,236834,2.9,0.1,1.2
buchhaus.ch,319384,319384,1.5,0.12,3.1
mycloudsports.ml,111256,111256,8.1,0.23,1.1
moviemag.ir,39654,39654,20,1.22,2.2
impacta.edu.br,307684,307684,1.4,0.17,4.4
mensagens10.com.br,88336,88336,8.5,0.45,1.9
sexonskype.ru,237141,237141,1.6,0.41,9.4
video4stream.com,86055,86055,11,0.31,1
dropshipdirect.com,296174,296174,1.5,0.17,4.2
blazersedge.com,73805,73805,11,0.55,1.9
spp.io,194480,194480,2.7,0.24,3.4
gazzamercato.it,221813,221813,3.3,0.1,1.1
sofratlepb.ru,121344,121344,7.3,0.2,1
