url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
duba.com,1433,1433,679,21.9,1.19,Shopping
zozo.jp,2163,2163,249,70.3,10.3,Shopping
dickssportinggoods.com,2589,2589,263,31.2,4.35,Shopping
ebaystores.co.uk,11312,11312,66.1,7.02,3.9,Shopping
sharp.co.jp,11800,11800,64,6.39,3.6,Shopping
livingsocial.com,14357,14357,56.3,4.35,2.83,Shopping
domodi.pl,21654,21654,39.1,2.44,2.3,Shopping
jimms.fi,29914,29914,21,3.49,6.1,Shopping
xiji.com,31917,31917,20,3,5.4,Shopping
footaction.com,34285,34285,22,1.7,2.8,Shopping
bonprixshop.eu,34288,34288,17,3.97,8.8,Shopping
movie2k.to,36724,36724,23,1.21,1.9,Shopping
resellerratings.com,37684,37684,22,1.3,2.2,Shopping
vitalmtb.com,38653,38653,21,1.3,2.3,Shopping
ourshopee.com,40557,40557,20.84,2.8,4.93,Shopping
jjill.com,42921,42921,14,2.21,5.7,Shopping
ognyvoinfo.ru,45958,45958,19.6,0.81,1.5,Shopping
sd.ua,46387,46387,17,1.06,2.3,Shopping
soloautos.mx,47602,47602,14,1.38,3.5,Shopping
tenso.com,50842,50842,13,1.5,4.4,Shopping
popbee.com,52633,52633,14,1,2.7,Shopping
sodimac.com.ar,55647,55647,11,1.45,4.8,Shopping
otenet.gr,56159,56159,17,0.57,1.2,Shopping
forbiddenplanet.com,62282,62282,11,0.93,3.1,Shopping
sportler.com,71099,71099,9,0.9,3.7,Shopping
michaelkors.jp,71361,71361,9.3,0.8,3.1,Shopping
gougoujp.com,74698,74698,7.1,1.4,7.2,Shopping
silver.org.cn,76612,76612,8.2,0.84,3.8,Shopping
graffitishop.it,77456,77456,7.5,1,5,Shopping
bca.com,80107,80107,9.4,0.51,2,Shopping
shop4reebok.com,80917,80917,7.8,0.75,3.5,Shopping
swimsuitsforall.com,83366,83366,7.1,0.84,4.3,Shopping
dogefaster.com,87500,87500,9.6,0.37,1.4,Shopping
ventureshop.com.br,94453,94453,6.3,0.68,4,Shopping
gearculture.com,100441,100441,7.1,0.4,2.1,Shopping
intersport.se,102002,102002,7,0.39,2.1,Shopping
furlenco.com,105115,105115,5.9,0.51,3.2,Shopping
3dlist.ru,105471,105471,7.9,0.28,1.3,Shopping
alexandermcqueen.com,105507,105507,5.8,0.52,3.3,Shopping
mochithings.com,106540,106540,5.9,0.49,3,Shopping
projectargus.eu,106748,106748,7.7,0.28,1.4,Shopping
yatta.pl,107501,107501,4.4,1.08,9,Shopping
yoogiscloset.com,111062,111062,6.2,0.36,2.1,Shopping
holabirdsports.com,111242,111242,5.3,0.53,3.7,Shopping
zib-militaria.de,112271,112271,4.3,0.92,7.8,Shopping
myposter.de,112916,112916,5.8,0.39,2.5,Shopping
mountain.ru,112922,112922,6.2,0.34,2,Shopping
rougier-ple.fr,121185,121185,4.8,0.46,3.5,Shopping
homemarkt.gr,122091,122091,4.7,0.47,3.7,Shopping
dhlparcel.com,122234,122234,6.9,0.21,1.1,Shopping
