url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code
samsclub.com,2499,2499,282,29.4,3.83,Shopping,en
mydala.com,2521,2521,597.29,26.99,1.66,Shopping,en
cvs.com,2529,2529,304,23.3,2.81,Shopping,en
gucci.com,2534,2534,240,44.6,6.82,Shopping,en
officedepot.com,2547,2547,270,31,4.22,Shopping,en
shutterfly.com,2557,2557,261,33.5,4.71,Shopping,en
sears.com,2560,2560,291,24.9,3.13,Shopping,en
autotrader.co.uk,2583,2583,228,48.8,7.85,Shopping,en
dickssportinggoods.com,2589,2589,263,31.2,4.35,Shopping,en
sweetwater.com,2633,2633,280,25.3,3.31,Shopping,en
offerup.com,2659,2659,229,43.8,7.02,Shopping,en
6pm.com,2688,2688,233,39.9,6.27,Shopping,en
carsforsale.com,2692,2692,353.19,75.54,7.851,Shopping,en
ozbargain.com.au,2727,2727,280,23.2,3.05,Shopping,en
nordstromrack.com,2734,2734,238,35.4,5.47,Shopping,en
joinhoney.com,2793,2793,344,14,1.49,Shopping,en
trademe.co.nz,2798,2798,200,56.85,10.4,Shopping,en
zulily.com,2822,2822,214,43.1,7.39,Shopping,en
jumia.com.eg,2826,2826,250,26.9,3.95,Shopping,en
consumerreports.org,2843,2843,287,18.8,2.4,Shopping,en
jalopnik.com,2858,2858,298,17.1,2.11,Shopping,en
stockx.com,2861,2861,276,20.3,2.7,Shopping,en
bestbuy.ca,2880,2880,246,26.4,3.95,Shopping,en
lazada.vn,2897,2897,217,37.6,6.36,Shopping,en
vente-privee.com,2914,2914,252,23.8,3.47,Shopping,en
theknot.com,2933,2933,284,17.7,2.28,Shopping,en
hotukdeals.com,2941,2941,269,19.8,2.7,Shopping,en
rei.com,2999,2999,230,27.5,4.38,Shopping,en
carousell.com,3006,3006,250,21.9,3.21,Shopping,en
colourpop.com,3008,3008,315.79,68.99,8.018,Shopping,en
shopclues.com,3010,3010,232,26.7,4.23,Shopping,en
ssense.com,3026,3026,229,26.9,4.31,Shopping,en
beatport.com,3040,3040,270,17.9,2.43,Shopping,en
photobucket.com,3041,3041,245,22.5,3.38,Shopping,en
chewy.com,3052,3052,214,31.8,5.45,Shopping,en
victoriassecret.com,3064,3064,210,33.5,5.87,Shopping,en
bigcartel.com,3135,3135,249,19.5,2.87,Shopping,en
autozone.com,3212,3212,236,20.6,3.2,Shopping,en
sportsdirect.com,3280,3280,181,42.1,8.55,Shopping,en
mudah.my,3289,3289,170,51.42,11.1,Shopping,en
redflagdeals.com,3305,3305,219,22.8,3.83,Shopping,en
matchesfashion.com,3339,3339,196,29.4,5.5,Shopping,en
ulta.com,3357,3357,197,28.5,5.3,Shopping,en
takealot.com,3358,3358,202,26.5,4.81,Shopping,en
ebay.ie,3397,3397,218,20.8,3.5,Shopping,en
coupons.com,3408,3408,266,13.2,1.81,Shopping,en
bizrate.com,3448,3448,282,11.5,1.5,Shopping,en
grailed.com,3455,3455,184,31.8,6.35,Shopping,en
mysmartprice.com,3456,3456,241,15.5,2.35,Shopping,en
yourtemplatefinder.com,3493,3493,301,10.1,1.23,Shopping,en
dx.com,3558,3558,222,17,2.8,Shopping,en
net-a-porter.com,3565,3565,188,26.1,5.09,Shopping,en
travelocity.com,3566,3566,218,17.5,2.94,Shopping,en
meizu.com,3569,3569,200,23.3,4.4,Shopping,en
endclothing.com,3632,3632,196,21.6,4.03,Shopping,en
disney.com,3649,3649,209,18.1,3.18,Shopping,en
budsgunshop.com,3663,3663,263.65,57.42,7.994,Shopping,en
trustedreviews.com,3690,3690,283,9.54,1.24,Shopping,en
letgo.com,3722,3722,205,17.6,3.15,Shopping,en
swiggy.com,3820,3820,206,16.1,2.87,Shopping,en
blu-ray.com,3824,3824,178,23.3,4.79,Shopping,en
bookdepository.com,3848,3848,189,19.5,3.78,Shopping,en
ebay.in,3878,3878,189,18.8,3.64,Shopping,en
dubizzle.com,3888,3888,149,38.8,9.58,Shopping,en
cpmlink.net,3891,3891,187,19.2,3.77,Shopping,en
vectorstock.com,3916,3916,194,17,3.21,Shopping,en
ae.com,3934,3934,161,28.6,6.53,Shopping,en
guitarcenter.com,3940,3940,181,20.1,4.06,Shopping,en
lyst.com,3945,3945,196,16.4,3.1,Shopping,en
jcrew.com,3975,3975,173,22,4.67,Shopping,en
shopstyle.com,3986,3986,206,14,2.5,Shopping,en
johnlewis.com,4002,4002,177,20.2,4.19,Shopping,en
orangebookvalue.com,4006,4006,387.31,17.49,1.66,Shopping,en
zaful.com,4011,4011,166,24,5.31,Shopping,en
jd.id,4030,4030,209,13.2,2.32,Shopping,en
clothing-marketing.com,4068,4068,327.74,18.94,2.12,Shopping,en
qvc.com,4141,4141,160,24.4,5.62,Shopping,en
carfax.com,4151,4151,202,13.1,2.37,Shopping,en
michaels.com,4183,4183,166,20.9,4.61,Shopping,en
greenmangaming.com,4188,4188,185,15.7,3.11,Shopping,en
91mobiles.com,4208,4208,203,12.6,2.27,Shopping,en
tesco.com,4240,4240,170,19,4.1,Shopping,en
thewirecutter.com,4255,4255,216,10.8,1.83,Shopping,en
beforward.jp,4281,4281,130,42.9,12.1,Shopping,en
pizzahut.com,4351,4351,179,15.2,3.12,Shopping,en
cabelas.com,4375,4375,167,17.8,3.91,Shopping,en
abebooks.com,4383,4383,195,12.3,2.31,Shopping,en
warframe.market,4386,4386,210,10.5,1.84,Shopping,en
canadiantire.ca,4403,4403,161,19.2,4.39,Shopping,en
turbosquid.com,4461,4461,158,19.4,4.51,Shopping,en
zazzle.com,4478,4478,157,19.5,4.55,Shopping,en
tomtop.com,4521,4521,160,17.9,4.11,Shopping,en
panasonic.com,4586,4586,176,13.4,2.78,Shopping,en
ikman.lk,4587,4587,121,41.4,12.5,Shopping,en
lazada.sg,4589,4589,142,24,6.2,Shopping,en
romwe.com,4596,4596,150,20.4,5.01,Shopping,en
newchic.com,4626,4626,156,17.6,4.15,Shopping,en
auspost.com.au,4685,4685,167,14.2,3.12,Shopping,en
vip.com,4695,4695,130,26.3,7.2,Shopping,en
vivino.com,4702,4702,279.94,16.85,2.21,Shopping,en
vans.com,4741,4741,153,17.4,4.2,Shopping,en
thermofisher.com,4756,4756,173,12.7,2.69,Shopping,en
canadapost.ca,4759,4759,192,10.1,1.92,Shopping,en
marksandspencer.com,4765,4765,140,22.2,5.84,Shopping,en
microcenter.com,4777,4777,145,19.6,4.95,Shopping,en
whatmobile.com.pk,4784,4784,156,15.9,3.75,Shopping,en
joom.com,4804,4804,174,12.1,2.55,Shopping,en
selfridges.com,4831,4831,140,20.3,5.3,Shopping,en
boohoo.com,4833,4833,131,25.3,7.09,Shopping,en
screwfix.com,4855,4855,145,18.3,4.62,Shopping,en
nest.com,4878,4878,176,11.2,2.33,Shopping,en
ricardo.ch,4882,4882,121,32.1,9.72,Shopping,en
ebay.com.hk,4888,4888,130,22.6,6.2,Shopping,en
thespruce.com,4899,4899,210,7.93,1.39,Shopping,en
gopro.com,4908,4908,156,14.6,3.45,Shopping,en
zigwheels.com,4918,4918,160,13.6,3.13,Shopping,en
corsair.com,4952,4952,157,13.9,3.25,Shopping,en
shopee.ph,4958,4958,148,16,3.96,Shopping,en
digikey.com,4968,4968,152,14.9,3.61,Shopping,en
letyshops.com,4981,4981,180,10,2.04,Shopping,en
currys.co.uk,5034,5034,142,17.1,4.42,Shopping,en
frys.com,5037,5037,152,14.2,3.42,Shopping,en
bloomingdales.com,5051,5051,139,17.9,4.71,Shopping,en
goodhousekeeping.com,5060,5060,208,7.47,1.32,Shopping,en
jbhifi.com.au,5137,5137,155,12.8,3.03,Shopping,en
menards.com,5169,5169,134,18.4,5.02,Shopping,en
wallpaperswide.com,5175,5175,119,26.7,8.23,Shopping,en
beautyexchange.com.hk,5238,5238,252.63,12.56,1.82,Shopping,en
tatacliq.com,5246,5246,156,11.7,2.75,Shopping,en
harborfreight.com,5289,5289,145,13.9,3.52,Shopping,en
bigbasket.com,5305,5305,126,20.3,5.89,Shopping,en
mouser.com,5310,5310,152,12.2,2.95,Shopping,en
mrporter.com,5312,5312,129,18.7,5.3,Shopping,en
backcountry.com,5354,5354,132,17.2,4.77,Shopping,en
costco.ca,5361,5361,137,15.2,4.06,Shopping,en
homedepot.ca,5369,5369,133,16.7,4.62,Shopping,en
cardekho.com,5371,5371,152,11.8,2.85,Shopping,en
society6.com,5403,5403,132,16.5,4.61,Shopping,en
fashionnova.com,5413,5413,116,24.7,7.83,Shopping,en
puma.com,5440,5440,126,18.4,5.35,Shopping,en
anthropologie.com,5498,5498,126,17.6,5.12,Shopping,en
tradingeconomics.com,5514,5514,163,9.35,2.11,Shopping,en
mytheresa.com,5534,5534,130,15.8,4.5,Shopping,en
stardoll.com,5558,5558,96.7,42.4,16.1,Shopping,en
warthunder.com,5579,5579,167,8.45,1.85,Shopping,en
chainreactioncycles.com,5580,5580,119,19.5,5.99,Shopping,en
expatriates.com,5599,5599,102,33.3,12,Shopping,en
next.co.uk,5610,5610,116,21.1,6.71,Shopping,en
picclick.com,5663,5663,118,19.1,5.96,Shopping,en
diy.com,5746,5746,123,15.7,4.68,Shopping,en
jet.com,5772,5772,136,11.9,3.22,Shopping,en
tcgplayer.com,5793,5793,112,20.3,6.64,Shopping,en
todocoleccion.net,5841,5841,113,19.3,6.28,Shopping,en
mensjournal.com,5857,5857,162,7.83,1.77,Shopping,en
bershka.com,5864,5864,130,12.9,3.64,Shopping,en
underarmour.com,5876,5876,123,14.6,4.34,Shopping,en
yesstyle.com,5877,5877,101,27.9,10.2,Shopping,en
dealnews.com,5937,5937,168,7.07,1.54,Shopping,en
faberlic.com,5992,5992,156,7.99,1.88,Shopping,en
adorama.com,6029,6029,138,10.1,2.68,Shopping,en
levi.com,6043,6043,110,18.4,6.13,Shopping,en
strawberrynet.com,6071,6071,176.47,22.58,4.696,Shopping,en
bkstr.com,6083,6083,124,12.8,3.79,Shopping,en
jillsclickcorner.com,6118,6118,183,5.79,1.16,Shopping,en
ioffer.com,6123,6123,98.8,25.2,9.37,Shopping,en
grainger.com,6126,6126,131,11,3.1,Shopping,en
cdkeys.com,6149,6149,124,12.4,3.68,Shopping,en
musiciansfriend.com,6157,6157,139,9.43,2.5,Shopping,en
bookingbuddy.com,6159,6159,179,5.88,1.2,Shopping,en
daraz.com.bd,6216,6216,122,12.4,3.71,Shopping,en
crateandbarrel.com,6228,6228,121,12.7,3.88,Shopping,en
konga.com,6268,6268,121,12.2,3.69,Shopping,en
bunnings.com.au,6271,6271,120,12.7,3.91,Shopping,en
potterybarn.com,6274,6274,118,13.3,4.14,Shopping,en
yobit.net,6332,6332,123,11.4,3.39,Shopping,en
epson.com,6344,6344,143,8.11,2.08,Shopping,en
adafruit.com,6356,6356,134,9.26,2.54,Shopping,en
kinguin.net,6369,6369,120,12,3.69,Shopping,en
saksfifthavenue.com,6382,6382,125,10.6,3.1,Shopping,en
camelcamelcamel.com,6393,6393,129,9.79,2.78,Shopping,en
everychina.com,6483,6483,94,22.9,8.9,Shopping,en
jdsports.co.uk,6516,6516,100,17,6.1,Shopping,en
awok.com,6532,6532,113,12.7,4.11,Shopping,en
donedeal.ie,6552,6552,96.5,20.2,7.69,Shopping,en
games-workshop.com,6575,6575,107,14.5,4.98,Shopping,en
pepperfry.com,6649,6649,110,12.9,4.3,Shopping,en
pinkbike.com,6666,6666,103,15.4,5.5,Shopping,en
mb.com.ph,6692,6692,234.58,11.75,1.84,Shopping,en
adultdvdempire.com,6742,6742,107,13.2,4.54,Shopping,en
westelm.com,6751,6751,105,13.7,4.77,Shopping,en
1mg.com,6777,6777,112,11.6,3.8,Shopping,en
smartprix.com,6840,6840,119,9.48,2.92,Shopping,en
jiji.ng,6845,6845,97.7,16.2,6.1,Shopping,en
uline.com,6886,6886,101,14.1,5.11,Shopping,en
sainsburys.co.uk,6906,6906,92.3,18.8,7.46,Shopping,en
c-and-a.com,6955,6955,89.8,19.9,8.12,Shopping,en
express.com,6970,6970,99.7,14.2,5.21,Shopping,en
debenhams.com,6972,6972,96,15.9,6.07,Shopping,en
ajio.com,7094,7094,92.7,16.6,6.58,Shopping,en
dealmoon.com,7146,7146,110,9.83,3.3,Shopping,en
stylecraze.com,7156,7156,147,5.51,1.38,Shopping,en
stitchfix.com,7162,7162,72,41.1,20.9,Shopping,en
geekbuying.com,7196,7196,111,9.55,3.16,Shopping,en
zumiez.com,7201,7201,98.2,13.2,4.94,Shopping,en
native-instruments.com,7235,7235,112,9.13,2.99,Shopping,en
hsn.com,7238,7238,103,11.4,4.08,Shopping,en
free3d.com,7239,7239,107,10.3,3.53,Shopping,en
nespresso.com,7243,7243,98.9,12.6,4.69,Shopping,en
thinkgeek.com,7305,7305,99.1,12.3,4.54,Shopping,en
gearslutz.com,7316,7316,118,7.81,2.42,Shopping,en
picclick.de,7324,7324,119,7.71,2.38,Shopping,en
bonanza.com,7382,7382,107,9.74,3.35,Shopping,en
polar.com,7393,7393,99.4,11.6,4.3,Shopping,en
finishline.com,7410,7410,102,10.8,3.91,Shopping,en
jomashop.com,7413,7413,99.7,11.5,4.22,Shopping,en
revolve.com,7416,7416,92.9,14.1,5.55,Shopping,en
customink.com,7444,7444,98.4,11.7,4.36,Shopping,en
tradeindia.com,7547,7547,113,8,2.6,Shopping,en
11street.my,7560,7560,109,8.65,2.92,Shopping,en
iberia.com,7562,7562,96.9,11.7,4.42,Shopping,en
priceprice.com,7564,7564,109,8.54,2.87,Shopping,en
tatasky.com,7600,7600,116,7.36,2.33,Shopping,en
revzilla.com,7670,7670,91.3,13,5.23,Shopping,en
hottopic.com,7752,7752,93.5,11.7,4.59,Shopping,en
cs.money,7761,7761,130,5.52,1.56,Shopping,en
kmart.com,7807,7807,106,8.27,2.87,Shopping,en
junkmail.co.za,7815,7815,144.95,22.52,5.701,Shopping,en
dresslily.com,7837,7837,86.1,14.2,6.07,Shopping,en
fasttech.com,7838,7838,82.5,16.3,7.25,Shopping,en
qobuz.com,7863,7863,123,5.81,1.73,Shopping,en
groupon.co.uk,7869,7869,98.7,9.47,3.52,Shopping,en
academy.com,7880,7880,93.6,10.8,4.25,Shopping,en
allure.com,7962,7962,136,4.74,1.28,Shopping,en
adverts.ie,8119,8119,73.7,20.2,10,Shopping,en
thebay.com,8121,8121,85.1,12.5,5.4,Shopping,en
myprotein.com,8125,8125,87.8,11.4,4.76,Shopping,en
avon.com,8208,8208,79.2,14.9,6.9,Shopping,en
bose.com,8219,8219,98.7,8.01,2.98,Shopping,en
jumia.co.ke,8235,8235,89.8,10.1,4.13,Shopping,en
firstcry.com,8266,8266,88.3,10.4,4.33,Shopping,en
balenciaga.com,8282,8282,71,20.7,11,Shopping,en
webstaurantstore.com,8314,8314,88,10.3,4.31,Shopping,en
crutchfield.com,8347,8347,96.5,8.02,3.05,Shopping,en
grabon.in,8361,8361,98.6,7.55,2.81,Shopping,en
bidorbuy.co.za,8390,8390,80.4,12.9,5.9,Shopping,en
petco.com,8398,8398,89.3,9.54,3.92,Shopping,en
qoo10.com,8408,8408,84.5,11.1,4.8,Shopping,en
newatlas.com,8436,8436,110,5.86,1.96,Shopping,en
getemoji.com,8449,8449,139,3.95,1.04,Shopping,en
hayneedle.com,8457,8457,92.9,8.41,3.32,Shopping,en
fanatics.com,8541,8541,82.9,11,4.88,Shopping,en
zennioptical.com,8558,8558,74.8,15,7.38,Shopping,en
oppo.com,8591,8591,100,6.62,2.4,Shopping,en
topshop.com,8592,8592,80.6,11.7,5.34,Shopping,en
metrodeal.com,8596,8596,141.17,18.59,4.833,Shopping,en
tizianafausti.com,8597,8597,73,15.8,7.9,Shopping,en
lulus.com,8643,8643,74.2,14.8,7.32,Shopping,en
tommy.com,8661,8661,79,11.9,5.5,Shopping,en
htc.com,8681,8681,89.9,8.35,3.4,Shopping,en
sierratradingpost.com,8701,8701,74,14.5,7.2,Shopping,en
sparkfun.com,8702,8702,107,5.64,1.94,Shopping,en
publix.com,8704,8704,80.6,11.1,5.07,Shopping,en
wayfair.ca,8720,8720,78.9,11.8,5.47,Shopping,en
michaelkors.com,8724,8724,82,10.7,4.8,Shopping,en
askmen.com,8751,8751,109,5.36,1.81,Shopping,en
bikewale.com,8752,8752,87.9,8.59,3.59,Shopping,en
quidco.com,8763,8763,84,9.75,4.3,Shopping,en
picclick.co.uk,8770,8770,91.5,7.68,3.1,Shopping,en
thenorthface.com,8783,8783,80.3,10.8,5,Shopping,en
llbean.com,8804,8804,85.3,9.1,3.91,Shopping,en
steamdb.info,8809,8809,98,6.48,2.43,Shopping,en
therealreal.com,8812,8812,76,12.6,6.11,Shopping,en
hbx.com,8815,8815,72,15.3,7.8,Shopping,en
bestdeals.today,8832,8832,129,3.94,1.12,Shopping,en
petsmart.com,8900,8900,85.8,8.57,3.67,Shopping,en
offers.com,8911,8911,124,4.09,1.21,Shopping,en
hotelscombined.com,8930,8930,94.3,6.73,2.62,Shopping,en
all.biz,8936,8936,101,5.8,2.11,Shopping,en
reserved.com,8997,8997,69.4,15.5,8.22,Shopping,en
stamps.com,9001,9001,96.8,6.2,2.35,Shopping,en
swisscom.ch,9008,9008,83.8,8.75,3.83,Shopping,en
printful.com,9022,9022,77.5,10.8,5.12,Shopping,en
kimovil.com,9027,9027,79.9,9.86,4.53,Shopping,en
gear4music.com,9038,9038,115.99,15.27,4.831,Shopping,en
avery.com,9039,9039,83.9,8.59,3.76,Shopping,en
thriftbooks.com,9051,9051,78.5,10.3,4.8,Shopping,en
sneakernews.com,9084,9084,99.2,5.72,2.12,Shopping,en
spreadshirt.com,9128,9128,102,5.3,1.9,Shopping,en
farnell.com,9138,9138,81.5,8.92,4.02,Shopping,en
williams-sonoma.com,9165,9165,85.1,7.9,3.41,Shopping,en
allmodern.com,9173,9173,79.3,9.47,4.38,Shopping,en
kogan.com,9178,9178,85.1,7.87,3.39,Shopping,en
abercrombie.com,9258,9258,72.5,11.9,6.03,Shopping,en
joann.com,9297,9297,81.1,8.49,3.84,Shopping,en
chanel.com,9305,9305,74,10.9,5.4,Shopping,en
cricut.com,9335,9335,84.1,7.65,3.34,Shopping,en
boots.com,9339,9339,78.7,9.08,4.23,Shopping,en
fender.com,9347,9347,88,6.81,2.84,Shopping,en
tirerack.com,9380,9380,80.9,8.28,3.76,Shopping,en
italist.com,9399,9399,71,11.9,6.1,Shopping,en
flightclub.com,9414,9414,83,7.67,3.4,Shopping,en
hollisterco.com,9434,9434,71.8,11.4,5.84,Shopping,en
modesens.com,9435,9435,82,7.92,3.6,Shopping,en
