url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
uaeresults.com,110100,110100,7.2,0.28,1.4,Shopping
digitamirgah.ir,110595,110595,7.2,0.28,1.4,Shopping
supersmart.com,110825,110825,5.8,0.42,2.7,Shopping
insportline.sk,110877,110877,5.4,0.49,3.3,Shopping
wholesalesuppliesplus.com,111683,111683,4.6,0.76,6.1,Shopping
narcisman.com,111782,111782,6.6,0.31,1.7,Shopping
ss.ua,111974,111974,4.5,0.82,6.7,Shopping
next.de,112360,112360,3.7,1.56,15,Shopping
mnogochernil.ru,112626,112626,6.5,0.31,1.8,Shopping
poradnikogrodniczy.pl,112791,112791,7,0.27,1.4,Shopping
coldsteel.com,113312,113312,5.2,0.49,3.5,Shopping
bakinity.biz,113555,113555,5.1,0.51,3.6,Shopping
lagranderecre.fr,113596,113596,5,0.54,3.9,Shopping
protoolreviews.com,113642,113642,6.8,0.28,1.5,Shopping
bugaboo.com,113782,113782,5.2,0.5,3.6,Shopping
simplicity.com,113944,113944,4.5,0.74,6.1,Shopping
vermontcountrystore.com,114022,114022,6.6,0.29,1.6,Shopping
outletpeak.com,114267,114267,5,0.54,4,Shopping
mypetwarehouse.com.au,114618,114618,5,0.54,4,Shopping
herrenausstatter.de,115444,115444,5.6,0.39,2.6,Shopping
be-stock.com,115908,115908,4.9,0.53,4,Shopping
cichic.com,117621,117621,4.7,0.54,4.1,Shopping
metraonline.com,118833,118833,5,0.45,3.3,Shopping
swissgear.com,119025,119025,4.8,0.49,3.8,Shopping
m-habitat.fr,119141,119141,6.9,0.23,1.3,Shopping
krasotka-market.ru,119498,119498,4.28,0.67,5.72,Shopping
farafan-market.com,119520,119520,5.5,0.34,2.3,Shopping
365games.co.uk,120381,120381,4.9,0.45,3.4,Shopping
whisky.fr,120562,120562,4.8,0.46,3.5,Shopping
network.hu,120573,120573,6.3,0.26,1.5,Shopping
brocantelab.com,120774,120774,5.2,0.38,2.6,Shopping
boatshop24.com,120961,120961,5.2,0.38,2.7,Shopping
santanderesfera.com.br,121019,121019,5.9,0.29,1.8,Shopping
liangpinpuzi.tmall.com,121448,121448,4.8,0.44,3.4,Shopping
menshop.men,121800,121800,7.33,0.2,1,Shopping
ericthecarguy.com,122891,122891,6.4,0.24,1.4,Shopping
allsports.jp,123146,123146,3.5,1.1,11,Shopping
recoilweb.com,123266,123266,6.2,0.25,1.5,Shopping
kindle.tmall.com,123331,123331,6.1,0.26,1.6,Shopping
boattest.com,123508,123508,5.8,0.28,1.8,Shopping
shevibe.com,124640,124640,4.2,0.56,4.8,Shopping
wowdeals.me,125167,125167,4.5,0.47,3.8,Shopping
pandora.tmall.com,125656,125656,4.7,0.41,3.2,Shopping
sportsgirl.com.au,125689,125689,4.2,0.54,4.7,Shopping
gunauction.com,126107,126107,4.9,0.36,2.7,Shopping
segmueller.de,126429,126429,4.5,0.44,3.6,Shopping
creativebug.com,126844,126844,4.4,0.45,3.7,Shopping
ultralightoutdoorgear.co.uk,126951,126951,4.5,0.44,3.6,Shopping
diymobileaudio.com,127402,127402,4.7,0.38,3,Shopping
mitula.de,127476,127476,5.7,0.26,1.6,Shopping
fashionvalet.com,127580,127580,4.2,0.53,4.7,Shopping
jandh.com,128193,128193,2.7,2.76,38,Shopping
iranshemsh.com,128354,128354,6.6,0.2,1.1,Shopping
raion-bin.com,128567,128567,4.7,0.37,2.9,Shopping
scgbuildingmaterials.com,128851,128851,5.2,0.29,2.1,Shopping
cwbook.com.tw,129518,129518,4.8,0.34,2.6,Shopping
ingles-markets.com,130139,130139,4.4,0.41,3.4,Shopping
bazaarbargh.ir,130178,130178,3.6,0.73,7.4,Shopping
arba.uz,130473,130473,3.9,0.55,5.1,Shopping
kleankanteen.com,130706,130706,4.6,0.37,3,Shopping
ariat.com,130796,130796,4.2,0.46,4,Shopping
ciadoslivros.com.br,131043,131043,6.4,0.2,1.1,Shopping
home.co.za,131692,131692,4.2,0.45,4,Shopping
greenpromocode.com,131821,131821,5.6,0.23,1.5,Shopping
wunderlich.de,132731,132731,3.3,0.87,9.5,Shopping
audiounion.jp,133141,133141,4.5,0.35,2.8,Shopping
canon.com.tw,133281,133281,4.2,0.41,3.6,Shopping
bokklubben.no,133418,133418,4.3,0.38,3.2,Shopping
hasaki.vn,133430,133430,4.1,0.44,3.9,Shopping
mstcecommerce.com,133759,133759,3.7,0.58,5.7,Shopping
toto.jp,133972,133972,5,0.27,2,Shopping
clubedoricardo.com.br,134655,134655,5.1,0.26,1.9,Shopping
suji.jp,134807,134807,3.7,0.58,5.8,Shopping
comiclist.com,135282,135282,5.6,0.22,1.4,Shopping
telenovelas.nl,135388,135388,4.8,0.29,2.2,Shopping
tramitespublicos.info.ve,135755,135755,5.8,0.2,1.3,Shopping
lenstore.co.uk,135792,135792,4.4,0.34,2.8,Shopping
angelplatz.de,136395,136395,3.6,0.56,5.7,Shopping
rhmodern.com,136968,136968,3.8,0.47,4.5,Shopping
perfectcircuitaudio.com,137059,137059,4.2,0.36,3.1,Shopping
hirewriters.com,137443,137443,3.9,0.44,4.2,Shopping
aferry.co.uk,137582,137582,4.5,0.31,2.5,Shopping
t2tea.com,137635,137635,3.8,0.47,4.6,Shopping
second-hand.it,137681,137681,3.2,0.78,8.8,Shopping
justpruvit.com,137813,137813,4.5,0.31,2.5,Shopping
felgenoutlet.de,137828,137828,4,0.42,3.9,Shopping
karaskustoms.com,137872,137872,3.5,0.58,6.1,Shopping
consul.ru,137887,137887,4.1,0.38,3.4,Shopping
promo.lk,137943,137943,3.9,0.44,4.2,Shopping
drankgigant.nl,138708,138708,4.1,0.38,3.4,Shopping
konamistyle.jp,139038,139038,5.2,0.22,1.6,Shopping
ibuk.pl,139246,139246,4.2,0.34,2.9,Shopping
kniga.de,139410,139410,4.1,0.37,3.3,Shopping
yellow.co.nz,139447,139447,4.5,0.29,2.3,Shopping
sourcebmx.com,140032,140032,3.7,0.47,4.7,Shopping
skugrid.com,140174,140174,3.7,0.45,4.5,Shopping
socksworks.com,140542,140542,4,0.36,3.3,Shopping
thegamecollection.net,140544,140544,4.3,0.31,2.6,Shopping
tsmshop.com,141319,141319,4.4,0.29,2.4,Shopping
ekonika.ru,142593,142593,3.4,0.55,6,Shopping
