url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code,dp,deceptive
boohoo.com,4833,4833,131.0,25.3,7.09,Shopping,en,True,False
screwfix.com,4855,4855,145.0,18.3,4.62,Shopping,en,False,False
nest.com,4878,4878,176.0,11.2,2.33,Shopping,en,False,False
gopro.com,4908,4908,156.0,14.6,3.45,Shopping,en,False,False
corsair.com,4952,4952,157.0,13.9,3.25,Shopping,en,False,False
shopee.ph,4958,4958,148.0,16.0,3.96,Shopping,en,False,False
digikey.com,4968,4968,152.0,14.9,3.61,Shopping,en,False,False
frys.com,5037,5037,152.0,14.2,3.42,Shopping,en,False,False
jbhifi.com.au,5137,5137,155.0,12.8,3.03,Shopping,en,False,False
menards.com,5169,5169,134.0,18.4,5.02,Shopping,en,False,False
tatacliq.com,5246,5246,156.0,11.7,2.75,Shopping,en,False,False
harborfreight.com,5289,5289,145.0,13.9,3.52,Shopping,en,False,False
backcountry.com,5354,5354,132.0,17.2,4.77,Shopping,en,False,False
costco.ca,5361,5361,137.0,15.2,4.06,Shopping,en,False,False
cardekho.com,5371,5371,152.0,11.8,2.85,Shopping,en,False,False
society6.com,5403,5403,132.0,16.5,4.61,Shopping,en,False,False
fashionnova.com,5413,5413,116.0,24.7,7.83,Shopping,en,True,False
puma.com,5440,5440,126.0,18.4,5.35,Shopping,en,False,False
anthropologie.com,5498,5498,126.0,17.6,5.12,Shopping,en,False,False
mytheresa.com,5534,5534,130.0,15.8,4.5,Shopping,en,False,False
chainreactioncycles.com,5580,5580,119.0,19.5,5.99,Shopping,en,True,False
next.co.uk,5610,5610,116.0,21.1,6.71,Shopping,en,True,True
diy.com,5746,5746,123.0,15.7,4.68,Shopping,en,False,False
jet.com,5772,5772,136.0,11.9,3.22,Shopping,en,False,False
tcgplayer.com,5793,5793,112.0,20.3,6.64,Shopping,en,False,False
underarmour.com,5876,5876,123.0,14.6,4.34,Shopping,en,False,False
yesstyle.com,5877,5877,101.0,27.9,10.2,Shopping,en,True,False
adorama.com,6029,6029,138.0,10.1,2.68,Shopping,en,True,False
levi.com,6043,6043,110.0,18.4,6.13,Shopping,en,True,False
strawberrynet.com,6071,6071,176.47,22.58,4.696000000000001,Shopping,en,True,False
bkstr.com,6083,6083,124.0,12.8,3.79,Shopping,en,False,False
ioffer.com,6123,6123,98.8,25.2,9.37,Shopping,en,False,False
grainger.com,6126,6126,131.0,11.0,3.1,Shopping,en,False,False
musiciansfriend.com,6157,6157,139.0,9.43,2.5,Shopping,en,True,False
daraz.com.bd,6216,6216,122.0,12.4,3.71,Shopping,en,False,False
konga.com,6268,6268,121.0,12.2,3.69,Shopping,en,False,False
bunnings.com.au,6271,6271,120.0,12.7,3.91,Shopping,en,False,False
potterybarn.com,6274,6274,118.0,13.3,4.14,Shopping,en,False,False
epson.com,6344,6344,143.0,8.11,2.08,Shopping,en,False,False
adafruit.com,6356,6356,134.0,9.26,2.54,Shopping,en,False,False
kinguin.net,6369,6369,120.0,12.0,3.69,Shopping,en,False,False
saksfifthavenue.com,6382,6382,125.0,10.6,3.1,Shopping,en,False,False
everychina.com,6483,6483,94.0,22.9,8.9,Shopping,en,False,False
jdsports.co.uk,6516,6516,100.0,17.0,6.1,Shopping,en,False,False
awok.com,6532,6532,113.0,12.7,4.11,Shopping,en,False,False
games-workshop.com,6575,6575,107.0,14.5,4.98,Shopping,en,False,False
pepperfry.com,6649,6649,110.0,12.9,4.3,Shopping,en,False,False
adultdvdempire.com,6742,6742,107.0,13.2,4.54,Shopping,en,False,False
westelm.com,6751,6751,105.0,13.7,4.77,Shopping,en,False,False
1mg.com,6777,6777,112.0,11.6,3.8,Shopping,en,False,False
uline.com,6886,6886,101.0,14.1,5.11,Shopping,en,False,False
sainsburys.co.uk,6906,6906,92.3,18.8,7.46,Shopping,en,False,False
c-and-a.com,6955,6955,89.8,19.9,8.12,Shopping,en,False,False
express.com,6970,6970,99.7,14.2,5.21,Shopping,en,False,False
dealmoon.com,7146,7146,110.0,9.83,3.3,Shopping,en,False,False
geekbuying.com,7196,7196,111.0,9.55,3.16,Shopping,en,True,True
zumiez.com,7201,7201,98.2,13.2,4.94,Shopping,en,False,False
native-instruments.com,7235,7235,112.0,9.13,2.99,Shopping,en,False,False
free3d.com,7239,7239,107.0,10.3,3.53,Shopping,en,False,False
nespresso.com,7243,7243,98.9,12.6,4.69,Shopping,en,False,False
thinkgeek.com,7305,7305,99.1,12.3,4.54,Shopping,en,False,False
bonanza.com,7382,7382,107.0,9.74,3.35,Shopping,en,False,False
polar.com,7393,7393,99.4,11.6,4.3,Shopping,en,False,False
revolve.com,7416,7416,92.9,14.1,5.55,Shopping,en,False,False
revzilla.com,7670,7670,91.3,13.0,5.23,Shopping,en,False,False
hottopic.com,7752,7752,93.5,11.7,4.59,Shopping,en,False,False
kmart.com,7807,7807,106.0,8.27,2.87,Shopping,en,False,False
dresslily.com,7837,7837,86.1,14.2,6.07,Shopping,en,True,False
fasttech.com,7838,7838,82.5,16.3,7.25,Shopping,en,False,False
qobuz.com,7863,7863,123.0,5.81,1.73,Shopping,en,False,False
academy.com,7880,7880,93.6,10.8,4.25,Shopping,en,False,False
adverts.ie,8119,8119,73.7,20.2,10.0,Shopping,en,False,False
thebay.com,8121,8121,85.1,12.5,5.4,Shopping,en,False,False
myprotein.com,8125,8125,87.8,11.4,4.76,Shopping,en,False,False
avon.com,8208,8208,79.2,14.9,6.9,Shopping,en,False,False
bose.com,8219,8219,98.7,8.01,2.98,Shopping,en,False,False
jumia.co.ke,8235,8235,89.8,10.1,4.13,Shopping,en,False,False
firstcry.com,8266,8266,88.3,10.4,4.33,Shopping,en,False,False
webstaurantstore.com,8314,8314,88.0,10.3,4.31,Shopping,en,False,False
crutchfield.com,8347,8347,96.5,8.02,3.05,Shopping,en,False,False
bidorbuy.co.za,8390,8390,80.4,12.9,5.9,Shopping,en,False,False
petco.com,8398,8398,89.3,9.54,3.92,Shopping,en,False,False
qoo10.com,8408,8408,84.5,11.1,4.8,Shopping,en,False,False
fanatics.com,8541,8541,82.9,11.0,4.88,Shopping,en,True,False
topshop.com,8592,8592,80.6,11.7,5.34,Shopping,en,False,False
lulus.com,8643,8643,74.2,14.8,7.32,Shopping,en,False,False
tommy.com,8661,8661,79.0,11.9,5.5,Shopping,en,True,False
htc.com,8681,8681,89.9,8.35,3.4,Shopping,en,False,False
sparkfun.com,8702,8702,107.0,5.64,1.94,Shopping,en,False,False
wayfair.ca,8720,8720,78.9,11.8,5.47,Shopping,en,False,False
michaelkors.com,8724,8724,82.0,10.7,4.8,Shopping,en,False,False
askmen.com,8751,8751,109.0,5.36,1.81,Shopping,en,False,False
thenorthface.com,8783,8783,80.3,10.8,5.0,Shopping,en,False,False
llbean.com,8804,8804,85.3,9.1,3.91,Shopping,en,False,False
therealreal.com,8812,8812,76.0,12.6,6.11,Shopping,en,True,False
hbx.com,8815,8815,72.0,15.3,7.8,Shopping,en,False,False
petsmart.com,8900,8900,85.8,8.57,3.67,Shopping,en,False,False
all.biz,8936,8936,101.0,5.8,2.11,Shopping,en,False,False
reserved.com,8997,8997,69.4,15.5,8.22,Shopping,en,False,False
gear4music.com,9038,9038,115.99,15.27,4.831,Shopping,en,False,False
avery.com,9039,9039,83.9,8.59,3.76,Shopping,en,False,False
thriftbooks.com,9051,9051,78.5,10.3,4.8,Shopping,en,False,False
sneakernews.com,9084,9084,99.2,5.72,2.12,Shopping,en,False,False
williams-sonoma.com,9165,9165,85.1,7.9,3.41,Shopping,en,True,False
allmodern.com,9173,9173,79.3,9.47,4.38,Shopping,en,False,False
joann.com,9297,9297,81.1,8.49,3.84,Shopping,en,False,False
chanel.com,9305,9305,74.0,10.9,5.4,Shopping,en,False,False
cricut.com,9335,9335,84.1,7.65,3.34,Shopping,en,False,False
boots.com,9339,9339,78.7,9.08,4.23,Shopping,en,False,False
fender.com,9347,9347,88.0,6.81,2.84,Shopping,en,False,False
flightclub.com,9414,9414,83.0,7.67,3.4,Shopping,en,False,False
swappa.com,9436,9436,67.0,14.2,7.77,Shopping,en,False,False
lelong.com.my,9489,9489,79.0,8.44,3.92,Shopping,en,False,False
fineartamerica.com,9518,9518,86.3,6.7,2.85,Shopping,en,False,False
freepeople.com,9572,9572,74.5,9.61,4.73,Shopping,en,False,False
shopstyle.co.uk,9606,9606,82.0,7.37,3.3,Shopping,en,False,False
ar15.com,9631,9631,65.0,14.4,8.12,Shopping,en,False,False
shopgoodwill.com,9695,9695,62.3,16.0,9.44,Shopping,en,False,False
ray-ban.com,9729,9729,75.4,8.72,4.25,Shopping,en,False,False
dillards.com,9774,9774,73.6,9.17,4.57,Shopping,en,True,False
katespade.com,9826,9826,74.0,8.97,4.5,Shopping,en,False,False
okp.com,9859,9859,72.0,9.4,4.8,Shopping,en,False,False
ikea.cn,9896,9896,63.0,14.3,8.3,Shopping,en,False,False
ebgames.ca,9904,9904,107.56,15.81,5.394,Shopping,en,False,False
pacsun.com,9949,9949,72.4,9.02,4.57,Shopping,en,True,False
houseoffraser.co.uk,9968,9968,70.0,9.79,5.1,Shopping,en,True,False
harley-davidson.com,10126,10126,78.9,6.66,3.1,Shopping,en,False,False
orientaltrading.com,10129,10129,64.8,11.5,6.54,Shopping,en,False,False
coach.com,10137,10137,69.0,9.38,5.0,Shopping,en,False,False
staples.ca,10191,10191,77.6,6.81,3.22,Shopping,en,False,False
shoes.com,10342,10342,71.8,7.85,4.01,Shopping,en,False,False
modcloth.com,10354,10354,65.1,10.3,5.83,Shopping,en,True,False
drmartens.com,10448,10448,65.0,10.1,5.7,Shopping,en,False,False
trekbikes.com,10508,10508,72.9,7.09,3.57,Shopping,en,False,False
newspapers.com,10514,10514,59.5,12.9,7.95,Shopping,en,False,False
noon.com,10529,10529,67.3,8.76,4.78,Shopping,en,False,False
buyma.us,10570,10570,76.0,6.29,3.0,Shopping,en,False,False
newegg.ca,10579,10579,76.4,6.14,2.95,Shopping,en,False,False
theiconic.com.au,10598,10598,63.8,9.95,5.73,Shopping,en,False,False
lululemon.com,10697,10697,73.2,6.57,3.29,Shopping,en,False,False
pandora.net,10871,10871,64.3,8.82,5.0,Shopping,en,True,False
burberry.com,10920,10920,64.0,8.77,5.0,Shopping,en,False,False
specialized.com,10973,10973,63.2,8.93,5.18,Shopping,en,False,False
pandasecurity.com,10977,10977,75.9,5.54,2.68,Shopping,en,False,False
tacobell.com,11049,11049,63.2,8.71,5.06,Shopping,en,False,False
storenvy.com,11115,11115,70.7,6.31,3.28,Shopping,en,False,False
kmart.com.au,11137,11137,66.3,7.38,4.08,Shopping,en,False,False
bringatrailer.com,11151,11151,64.5,7.93,4.51,Shopping,en,False,False
rosegal.com,11167,11167,59.3,10.1,6.24,Shopping,en,False,False
landsend.com,11200,11200,62.7,8.41,4.92,Shopping,en,False,False
hobbylobby.com,11252,11252,66.7,6.96,3.83,Shopping,en,False,False
vitacost.com,11293,11293,63.2,7.99,4.64,Shopping,en,False,False
bigbadtoystore.com,11319,11319,58.6,9.89,6.19,Shopping,en,False,False
game.co.uk,11335,11335,67.3,6.63,3.62,Shopping,en,False,False
hobbyking.com,11378,11378,59.5,9.28,5.73,Shopping,en,False,False
christianbook.com,11427,11427,64.3,7.27,4.16,Shopping,en,False,False
shein.co.uk,11491,11491,71.6,5.42,2.77,Shopping,en,False,False
hermes.com,11567,11567,57.0,9.68,6.2,Shopping,en,False,False
cafepress.com,11612,11612,70.2,5.49,2.87,Shopping,en,False,False
tractorsupply.com,11657,11657,67.0,6.07,3.32,Shopping,en,False,False
fossil.com,11717,11717,59.6,8.17,5.03,Shopping,en,False,False
tigerdirect.com,11746,11746,65.2,6.34,3.57,Shopping,en,False,False
dubli.com,11803,11803,71.0,5.0,2.6,Shopping,en,False,False
floryday.com,11810,11810,58.2,8.48,5.35,Shopping,en,True,True
newbalance.com,11829,11829,61.9,7.04,4.18,Shopping,en,False,False
riverisland.com,11841,11841,57.0,9.04,5.9,Shopping,en,False,False
newlook.com,11871,11871,57.1,8.73,5.62,Shopping,en,False,False
adidas.co.uk,11884,11884,65.8,5.88,3.3,Shopping,en,True,False
very.co.uk,11950,11950,56.6,8.68,5.6,Shopping,en,True,False
evike.com,11954,11954,50.8,12.4,8.93,Shopping,en,False,False
aldoshoes.com,11967,11967,59.0,7.7,4.8,Shopping,en,False,False
ebags.com,11993,11993,60.8,6.98,4.22,Shopping,en,False,False
indigo.ca,12003,12003,57.4,8.17,5.22,Shopping,en,False,False
uncrate.com,12038,12038,74.5,4.24,2.09,Shopping,en,False,False
tradesy.com,12041,12041,67.0,5.42,3.0,Shopping,en,False,False
represent.com,12267,12267,72.2,4.27,2.17,Shopping,en,False,False
thredup.com,12286,12286,57.8,7.3,4.63,Shopping,en,True,True
fwrd.com,12337,12337,60.0,6.59,4.1,Shopping,en,True,False
brownells.com,12367,12367,61.1,6.13,3.68,Shopping,en,False,False
catch.com.au,12504,12504,56.0,7.46,4.89,Shopping,en,True,False
carters.com,12511,12511,51.9,9.37,6.63,Shopping,en,False,False
midwayusa.com,12633,12633,60.0,5.91,3.62,Shopping,en,False,False
buybuybaby.com,12661,12661,53.3,8.18,5.64,Shopping,en,False,False
bathandbodyworks.com,12714,12714,56.0,6.93,4.54,Shopping,en,False,False
wayfair.co.uk,12757,12757,55.9,6.86,4.5,Shopping,en,False,False
ecstuning.com,12797,12797,53.6,7.68,5.26,Shopping,en,False,False
motorola.com,12896,12896,63.9,4.71,2.7,Shopping,en,False,False
linksys.com,12911,12911,64.5,4.59,2.61,Shopping,en,False,False
basspro.com,12942,12942,60.6,5.28,3.2,Shopping,en,False,False
halfords.com,12956,12956,58.4,5.78,3.63,Shopping,en,True,False
madewell.com,12972,12972,50.9,8.5,6.12,Shopping,en,False,False
fendi.com,13021,13021,51.0,8.44,6.1,Shopping,en,False,False
koodomobile.com,13123,13123,50.1,8.5,6.22,Shopping,en,False,False
zopbuy.com,13138,13138,57.6,5.69,3.63,Shopping,en,False,False
lottedfs.com,13163,13163,43.0,13.7,12.0,Shopping,en,False,False
miniinthebox.com,13176,13176,58.7,5.36,3.4,Shopping,en,True,False
cobone.com,13177,13177,81.7,11.57,5.1979999999999995,Shopping,en,True,False
dressinn.com,13180,13180,45.0,11.6,9.4,Shopping,en,False,False
chrono24.com,13236,13236,52.8,7.02,4.9,Shopping,en,False,False
carphonewarehouse.com,13264,13264,56.6,5.75,3.73,Shopping,en,False,False
asics.com,13334,13334,55.0,6.23,4.2,Shopping,en,False,False
joybuy.com,13433,13433,52.0,6.75,4.7,Shopping,en,True,False
fnp.com,13440,13440,51.4,7.14,5.1,Shopping,en,True,False
saksoff5th.com,13446,13446,58.0,5.07,3.2,Shopping,en,False,False
wickes.co.uk,13451,13451,55.0,5.88,3.93,Shopping,en,False,False
bike-discount.de,13557,13557,46.9,9.15,7.2,Shopping,en,False,False
muscleandstrength.com,13591,13591,58.1,4.92,3.11,Shopping,en,False,False
everlane.com,13641,13641,65.7,3.7,2.07,Shopping,en,False,False
tennis-warehouse.com,13649,13649,49.7,7.39,5.45,Shopping,en,False,False
harveynorman.com.au,13680,13680,57.3,4.97,3.18,Shopping,en,False,False
moo.com,13697,13697,51.4,6.62,4.73,Shopping,en,False,False
sportchek.ca,13741,13741,47.7,8.13,6.25,Shopping,en,False,False
tillys.com,13744,13744,48.0,7.8,5.9,Shopping,en,False,False
jossandmain.com,13746,13746,52.9,6.0,4.16,Shopping,en,True,False
searspartsdirect.com,13757,13757,58.6,4.62,2.9,Shopping,en,False,False
shopee.sg,13777,13777,55.0,5.3,3.5,Shopping,en,False,False
shapeways.com,13795,13795,55.5,5.22,3.5,Shopping,en,False,False
reebok.com,13865,13865,53.4,5.64,3.87,Shopping,en,True,False
cottonon.com,13958,13958,47.2,7.83,6.09,Shopping,en,False,False
totalwine.com,13964,13964,57.8,4.49,2.85,Shopping,en,False,False
prettylittlething.com,13972,13972,46.6,8.14,6.4,Shopping,en,False,False
sportsmansoutdoorsuperstore.com,13987,13987,80.82,10.45,4.748,Shopping,en,True,False
partycity.com,14033,14033,53.4,5.38,3.7,Shopping,en,False,False
tictail.com,14045,14045,57.0,4.56,2.9,Shopping,en,False,False
nikonusa.com,14057,14057,61.6,3.81,2.3,Shopping,en,False,False
christianlouboutin.com,14084,14084,43.0,10.1,8.6,Shopping,en,False,False
pricecheck.co.za,14137,14137,67.8,3.11,1.68,Shopping,en,False,False
prodirectsoccer.com,14258,14258,46.0,7.58,6.0,Shopping,en,False,False
opticsplanet.com,14296,14296,54.8,4.7,3.15,Shopping,en,True,False
vw.com,14380,14380,50.6,5.66,4.11,Shopping,en,False,False
ebgames.com.au,14432,14432,50.8,5.54,4.01,Shopping,en,False,False
footasylum.com,14440,14440,48.0,6.62,5.1,Shopping,en,False,False
designbyhumans.com,14441,14441,52.6,5.04,3.52,Shopping,en,False,False
swarovski.com,14443,14443,47.0,6.75,5.2,Shopping,en,False,False
brunarosso.com,14452,14452,46.0,7.53,6.1,Shopping,en,False,False
prozis.com,14502,14502,42.0,9.55,8.3,Shopping,en,False,False
potterybarnkids.com,14625,14625,45.0,7.56,6.2,Shopping,en,False,False
cosstores.com,14654,14654,47.0,6.6,5.2,Shopping,en,False,False
tkmaxx.com,14660,14660,43.3,8.37,7.1,Shopping,en,True,False
myminifactory.com,14719,14719,47.1,6.33,4.9,Shopping,en,False,False
kith.com,14742,14742,54.0,4.4,3.0,Shopping,en,False,False
turbofuture.com,14768,14768,78.5,2.2,1.03,Shopping,en,False,False
bewakoof.com,14771,14771,49.9,5.33,3.92,Shopping,en,False,False
nastygal.com,14798,14798,41.7,9.08,7.98,Shopping,en,True,False
